logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
0.066149049	-0.130325982	0.844862069	0.898940334	Ricksha:MULE-MuDR:DNA	0.596269538	0.852666945	AL_RNA_TCDD_F	TCDD	F	Ricksha	MULE-MuDR	DNA
-0.072703091	1.347439289	0.848215017	0.901247646	LTR52:ERVL:LTR	2.369030285	1.970465116	AL_RNA_TCDD_F	TCDD	F	LTR52	ERVL	LTR
0.088676429	0.034633219	0.849696992	0.901247646	LTRIS4B:ERV1:LTR	0.718564835	0.871842856	AL_RNA_TCDD_F	TCDD	F	LTRIS4B	ERV1	LTR
-0.118123162	0.144202334	0.849637887	0.901247646	RLTR1F_Mm:ERVK:LTR	0.718730895	0.877169637	AL_RNA_TCDD_F	TCDD	F	RLTR1F_Mm	ERVK	LTR
-0.048998699	4.076419166	0.855400659	0.906349288	Arthur1:hAT-Tip100:DNA	16.34613684	13.36093654	AL_RNA_TCDD_F	TCDD	F	Arthur1	hAT-Tip100	DNA
-0.059652991	3.154661184	0.858123153	0.907337723	L1M4a1:L1:LINE	8.645294602	8.425990446	AL_RNA_TCDD_F	TCDD	F	L1M4a1	L1	LINE
0.04688233	1.570605965	0.857757066	0.907337723	MamGypLTR1c:Gypsy:LTR	2.579638373	2.922385397	AL_RNA_TCDD_F	TCDD	F	MamGypLTR1c	Gypsy	LTR
-0.044279709	9.547597656	0.862189636	0.910687803	MLT1D:ERVL-MaLR:LTR	746.9785028	658.0900891	AL_RNA_TCDD_F	TCDD	F	MLT1D	ERVL-MaLR	LTR
-0.099214007	0.281966461	0.86556056	0.911917248	ERVB3_1-LTR_MM:ERVK:LTR	0.860492279	1.002597166	AL_RNA_TCDD_F	TCDD	F	ERVB3_1-LTR_MM	ERVK	LTR
-0.088830335	2.276467619	0.866649192	0.911917248	Ricksha_c:MULE-MuDR:DNA	4.636767823	4.090081798	AL_RNA_TCDD_F	TCDD	F	Ricksha_c	MULE-MuDR	DNA
-0.061079544	3.265557803	0.864701365	0.911917248	RLTR20D:ERVK:LTR	9.150940149	8.980344123	AL_RNA_TCDD_F	TCDD	F	RLTR20D	ERVK	LTR
-0.041009242	5.843888314	0.866950914	0.911917248	RLTR9C:ERVK:LTR	55.9132398	59.3132937	AL_RNA_TCDD_F	TCDD	F	RLTR9C	ERVK	LTR
-0.071060779	1.732206471	0.873602674	0.917011503	MER92B:ERV1:LTR	3.035071227	2.713220578	AL_RNA_TCDD_F	TCDD	F	MER92B	ERV1	LTR
-0.080693851	0.928759128	0.872909789	0.917011503	tRNA-Gly-GGA:tRNA:tRNA	1.502245859	1.466313686	AL_RNA_TCDD_F	TCDD	F	tRNA-Gly-GGA	tRNA	tRNA
-0.046998589	3.208192156	0.879420918	0.92216423	LTRIS4A:ERV1:LTR	8.199678951	8.242361394	AL_RNA_TCDD_F	TCDD	F	LTRIS4A	ERV1	LTR
-0.044255892	3.841135596	0.887136341	0.929293647	MLT2B2:ERVL:LTR	12.27691715	12.07044566	AL_RNA_TCDD_F	TCDD	F	MLT2B2	ERVL	LTR
0.032074431	2.519031001	0.889123336	0.930413893	RLTR42:ERVK:LTR	5.083627849	5.181906507	AL_RNA_TCDD_F	TCDD	F	RLTR42	ERVK	LTR
0.032065234	2.717542747	0.89180249	0.932255387	LTR48:ERV1:LTR	5.924750093	7.149713998	AL_RNA_TCDD_F	TCDD	F	LTR48	ERV1	LTR
-0.064129355	2.355346219	0.893905648	0.933491583	MLT1J-int:ERVL-MaLR:LTR	4.869766611	5.067489652	AL_RNA_TCDD_F	TCDD	F	MLT1J-int	ERVL-MaLR	LTR
-0.042092953	1.28538749	0.89738038	0.935193942	L1M3c:L1:LINE	2.16787372	2.077492209	AL_RNA_TCDD_F	TCDD	F	L1M3c	L1	LINE
-0.0700281	2.249978671	0.897057505	0.935193942	MER135:DNA:DNA	4.254880314	4.384590273	AL_RNA_TCDD_F	TCDD	F	MER135	DNA	DNA
0.024844101	3.39989758	0.90076199	0.937754269	MLTR25C:ERVK:LTR	9.942456542	10.28211142	AL_RNA_TCDD_F	TCDD	F	MLTR25C	ERVK	LTR
-0.085131751	0.004665265	0.906447638	0.942332319	LTR85b:Gypsy?:LTR	0.688140846	0.616202875	AL_RNA_TCDD_F	TCDD	F	LTR85b	Gypsy?	LTR
-0.045274389	3.704166298	0.90701809	0.942332319	MamRep605:LTR?:LTR?	11.84790634	12.51412653	AL_RNA_TCDD_F	TCDD	F	MamRep605	LTR?	LTR
-0.067225789	0.225274331	0.908659646	0.943071526	RLTR19A2:ERVK:LTR	0.914520158	0.868642779	AL_RNA_TCDD_F	TCDD	F	RLTR19A2	ERVK	LTR
0.020177717	3.940616892	0.910347852	0.943857589	ERVB2_1-I_MM-int:ERVK:LTR	13.78197827	13.75697117	AL_RNA_TCDD_F	TCDD	F	ERVB2_1-I_MM-int	ERVK	LTR
0.017742493	4.068536521	0.916429296	0.949192345	HAL1_SS:L1:LINE	16.83639952	16.51992747	AL_RNA_TCDD_F	TCDD	F	HAL1_SS	L1	LINE
0.014868877	4.847238657	0.922416097	0.952698522	RLTR34B_MM:ERVK:LTR	27.08620977	24.93024472	AL_RNA_TCDD_F	TCDD	F	RLTR34B_MM	ERVK	LTR
