logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
0.010280132	9.308495707	0.404097156	0.543005554	RMER20B	632.8668309	640.4002701	ZB_ATAC_As_F	As	F	RMER20B	LTR
0.067992134	8.148648358	0.410026591	0.550311799	FordPrefect	284.4910494	289.5819797	ZB_ATAC_As_F	As	F	FordPrefect	DNA
-0.024920855	6.227010393	0.412204767	0.552571859	LTR16B1	75.23424371	73.4770664	ZB_ATAC_As_F	As	F	LTR16B1	LTR
0.015946053	7.980610747	0.413485824	0.553625331	ERVB4_1B-LTR_MM	251.792097	252.973886	ZB_ATAC_As_F	As	F	ERVB4_1B-LTR_MM	LTR
-0.028410431	6.027751511	0.414539233	0.554371846	HERV16-int	66.01013528	64.04845527	ZB_ATAC_As_F	As	F	HERV16-int	LTR
-0.044660447	5.037523322	0.415067487	0.554415114	LTR75	32.9959395	32.07426512	ZB_ATAC_As_F	As	F	LTR75	LTR
0.020792049	6.903779188	0.415742414	0.554653961	RLTR10D	120.0066734	122.5016634	ZB_ATAC_As_F	As	F	RLTR10D	LTR
-0.057325186	3.885207453	0.422152698	0.561534648	L1MEg1	14.79008631	14.08865534	ZB_ATAC_As_F	As	F	L1MEg1	LINE
0.02220903	6.513263236	0.422406654	0.561534648	LTR79	90.27080909	92.425576	ZB_ATAC_As_F	As	F	LTR79	LTR
0.017177937	7.241583214	0.422132819	0.561534648	Tigger17c	150.3232703	152.8853296	ZB_ATAC_As_F	As	F	Tigger17c	DNA
0.092255432	1.899774342	0.426154659	0.56584431	MamRep1894	3.597128031	3.797506943	ZB_ATAC_As_F	As	F	MamRep1894	DNA
0.012879491	12.3094248	0.428323813	0.567729213	B1_Mur3	5078.714935	5140.044287	ZB_ATAC_As_F	As	F	B1_Mur3	SINE
0.030382171	5.55838855	0.429346281	0.567729213	MER44C	46.91009154	47.66157262	ZB_ATAC_As_F	As	F	MER44C	DNA
